
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.64329594373703
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.005473665427416563
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0026260288432240486
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0019163730321452022
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0032033168245106936
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.001953579718247056
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0027075433172285557
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.004265514202415943
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0038280144799500704
EPOCH 1 OF 10 | VAL MEAN LOSS: 0.0026126932352781296
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.002079732483252883
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0027486924082040787
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0022827915381640196
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.001540660741738975
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0028198896907269955
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0017794931773096323
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.002714712405577302
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.003744876943528652
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.003571103559806943
EPOCH 2 OF 10 | VAL MEAN LOSS: 0.002549083437770605
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0019551762379705906
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0026253806427121162
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0023651483934372663
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0015075112460181117
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.002818552777171135
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.001742771128192544
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0027621916960924864
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0036352784372866154
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0033790338784456253
EPOCH 3 OF 10 | VAL MEAN LOSS: 0.0025219516828656197
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0019392479443922639
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.002583783585578203
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0023884105030447245
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0015148376114666462
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.002824178896844387
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0017379376804456115
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0027500586584210396
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0036952884402126074
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0033513125963509083
EPOCH 4 OF 10 | VAL MEAN LOSS: 0.002498702146112919
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.001905391225591302
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0026413334999233484
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0024164323695003986
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0015384291764348745
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.002919828984886408
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.001762232044711709
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.002737815724685788
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0036695292219519615
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0032969729509204626
EPOCH 5 OF 10 | VAL MEAN LOSS: 0.0024823718704283237
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0018899933202192187
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0026650438085198402
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0024344720877707005
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0015470068901777267
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0029751542024314404
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0017371786525472999
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.002744337311014533
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.003608506638556719
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0032625303138047457
EPOCH 6 OF 10 | VAL MEAN LOSS: 0.0024717715568840504
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.001885002013295889
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0026164022274315357
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0023692618124186993
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0015388480387628078
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0026558449026197195
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0018129401141777635
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.002649519592523575
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0034590652212500572
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.003183746477589011
EPOCH 7 OF 10 | VAL MEAN LOSS: 0.0024589758832007647
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.001808562665246427
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.002603063127025962
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0023836784530431032
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.001538640703074634
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.002723121549934149
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.001801894512027502
