
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0024087713100016117
EPOCH 6 OF 10 | VAL MEAN LOSS: 0.002575781662017107
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0033741823863238096
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0016704486915841699
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0023314310237765312
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0012294655898585916
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.002262173220515251
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0015188748948276043
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0034449531231075525
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0025882641784846783
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0024231213610619307
EPOCH 7 OF 10 | VAL MEAN LOSS: 0.002570770215243101
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0033762510865926743
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0016565058613196015
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0023192898370325565
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0012111770920455456
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.002254065591841936
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0015145374927669764
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0034522467758506536
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.002577449893578887
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0023927439469844103
EPOCH 8 OF 10 | VAL MEAN LOSS: 0.0025584837421774864
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.0033704889938235283
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.0016455380246043205
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.0023204523604363203
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.001207787892781198
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.0022525887470692396
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.001532666152343154
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.0034544470254331827
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.002568894997239113
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.002410394372418523
EPOCH 9 OF 10 | VAL MEAN LOSS: 0.0025645329151302576
EPOCH 10 OF 10 | MOST RECENT TRAIN LOSS: 0.0033722708467394114
EPOCH 10 OF 10 | MOST RECENT TRAIN LOSS: 0.001642534974962473
EPOCH 10 OF 10 | MOST RECENT TRAIN LOSS: 0.002315934281796217
EPOCH 10 OF 10 | MOST RECENT TRAIN LOSS: 0.0011977457907050848
EPOCH 10 OF 10 | MOST RECENT TRAIN LOSS: 0.002254908438771963
EPOCH 10 OF 10 | MOST RECENT TRAIN LOSS: 0.0015356632648035884
