
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.002732004038989544
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.002725262427702546
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.002722090808674693
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.002720063552260399
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.002718621864914894
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.0027175452560186386
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.0027167212683707476
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.002716071205213666
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.0027155212592333555
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.002715031849220395
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.0027146220672875643
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.002714309375733137
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.002714096335694194
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.002713969675824046
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.002713905181735754
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.002713877707719803
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.002713869558647275
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.0027138707228004932
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.0027138753794133663
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.0027093139942735434
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.00270944950170815
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.002709611551836133
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.002709372201934457
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.0027092965319752693
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.002709280466660857
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.0027092876844108105
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.0027093032840639353
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.002709324238821864
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.0027093435637652874
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.002709347754716873
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.002709351945668459
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.002709351945668459
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.0027093521784991026
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.0027093517128378153
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.0027093521784991026
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.0027093521784991026
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.0027093521784991026
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.0027093521784991026
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.0027093521784991026
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.00270935264416039
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.00270935264416039
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.0027093528769910336
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.0027093528769910336
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.0027093528769910336
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.002709353109821677
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.0027093528769910336
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.002709353109821677
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.002709353109821677
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.002709353342652321
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.002709353808313608
TEST MEAN LOSS: 0.0025073387660086155
