
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.002792020095512271
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.0027305397670716047
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.0025897566229104996
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.0027050438802689314
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.0026108287274837494
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.002580126514658332
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.0025771711952984333
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.002706527942791581
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.0026307927910238504
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.002596262376755476
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.0025844452902674675
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.002569638192653656
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.0025666228029876947
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.0025657820515334606
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.002565775066614151
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.0026792408898472786
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.0026167009491473436
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.0026026256382465363
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.0025851991958916187
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.002577352337539196
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.0025659240782260895
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.0025545803364366293
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.002543270355090499
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.00253219623118639
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.002527544740587473
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.0025239393580704927
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.00252296170219779
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.0025190911255776882
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.002517183544114232
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.0025171437300741673
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.0025155707262456417
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.002617246238514781
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.0025698463432490826
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.0025659946259111166
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.0025588662829250097
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.002551405457779765
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.002534180646762252
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.002527757780626416
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.0025195740163326263
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.002519650151953101
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.002513427287340164
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.0025114465970546007
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.0025096831377595663
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.002505038632079959
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.0024984683841466904
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.00249171769246459
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.0024893104564398527
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.002487070858478546
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.002485612640157342
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.0024854373186826706
TEST MEAN LOSS: 0.002250414341688156
