
EPOCH 1 OF 10 | VAL MEAN LOSS: 0.002719598589465022
EPOCH 2 OF 10 | VAL MEAN LOSS: 0.0027192854322493076
EPOCH 3 OF 10 | VAL MEAN LOSS: 0.0027174041606485844
EPOCH 4 OF 10 | VAL MEAN LOSS: 0.0027192975394427776
EPOCH 5 OF 10 | VAL MEAN LOSS: 0.002718372270464897
EPOCH 6 OF 10 | VAL MEAN LOSS: 0.0027171194087713957
EPOCH 7 OF 10 | VAL MEAN LOSS: 0.0027164947241544724
EPOCH 8 OF 10 | VAL MEAN LOSS: 0.0027193317655473948
EPOCH 9 OF 10 | VAL MEAN LOSS: 0.0027182779740542173
EPOCH 10 OF 10 | VAL MEAN LOSS: 0.002717807423323393
TEST MEAN LOSS: 0.0025111129507422447
