
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.005424674600362778
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.006907000206410885
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0054634325206279755
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.005450330208986998
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.00658857636153698
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.007505838293582201
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.006934289820492268
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.007448059506714344
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0038424907252192497
EPOCH 1 OF 10 | VAL MEAN LOSS: 0.006441845092922449
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.005424663424491882
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.006904815323650837
