
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.02261187694966793
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.006456418894231319
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.006438526790589094
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.0064385938458144665
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.0064388299360871315
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.006438693962991238
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.006438645534217358
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.006438661366701126
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.0064386725425720215
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.0064386725425720215
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.006438670679926872
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.006438667885959148
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.006438668351620436
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.006438668351620436
TEST MEAN LOSS: 0.0067748455330729485
