
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.0025391955859959126
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.0025332639925181866
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.002533828839659691
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.0025306378956884146
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.002529037883505225
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.0025226427242159843
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.0025206306017935276
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.0025187726132571697
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.0025187984574586153
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.0025151721201837063
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.0025113082956522703
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.0025079359766095877
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.0025059664621949196
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.0025049515534192324
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.0025042903143912554
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.0025039101019501686
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.002503871452063322
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.0025011375546455383
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.0024951354134827852
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.002493910025805235
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.0024947633501142263
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.0024900590069592
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.0024897768162190914
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.0024867060128599405
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.0024899186100810766
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.0024830664042383432
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.002485380508005619
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.00248420680873096
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.002469605067744851
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.0024692199658602476
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.0024677575565874577
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.0024675282184034586
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.0024671019054949284
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.0024666383396834135
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.0024663922376930714
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.002465859754011035
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.002465401543304324
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.0024657079484313726
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.0024649130646139383
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.0024647368118166924
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.0024643016513437033
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.002464890480041504
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.0024634443689137697
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.002464132383465767
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.002463248558342457
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.0024635859299451113
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.002463282784447074
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.002460068091750145
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.002459581708535552
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.0024593567941337824
TEST MEAN LOSS: 0.002222032519057393
