EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.30456992983818054
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0053610061295330524
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.002478651702404022
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0018319985829293728
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0032571961637586355
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0019959378987550735
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.002661313395947218
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.003920000046491623
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.003928645513951778
EPOCH 1 OF 10 | VAL MEAN LOSS: 0.0025998041965067387
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0020222035236656666
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.002798604778945446
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0022493917495012283
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0015409470070153475
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0029676156118512154
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0017891151364892721
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0026674740947782993
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0037224190309643745
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0034884328488260508
EPOCH 2 OF 10 | VAL MEAN LOSS: 0.0025331382639706135
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0019302918808534741
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0025854313280433416
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0023983370047062635
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0015003243461251259
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0028542489744722843
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0016974069876596332
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.002792258281260729
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.003644966520369053
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.0034824348986148834
EPOCH 3 OF 10 | VAL MEAN LOSS: 0.0025055701844394207
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0018978627631440759
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0025977278128266335
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.002411010442301631
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0014924894785508513
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.002853352576494217
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0017046594293788075
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0028109941631555557
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0036674588918685913
EPOCH 4 OF 10 | MOST RECENT TRAIN LOSS: 0.0034614396281540394
EPOCH 4 OF 10 | VAL MEAN LOSS: 0.002491261577233672
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0018857005052268505
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0026112310588359833
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0024130039382725954
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0014894327614456415
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.002888693008571863
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0017364086816087365
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0028390143997967243
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.0036766810808330774
EPOCH 5 OF 10 | MOST RECENT TRAIN LOSS: 0.003419650485739112
EPOCH 5 OF 10 | VAL MEAN LOSS: 0.0024818729143589735
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0018743188120424747
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.002617334248498082
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.002397482516244054
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0014703294727951288
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0026733316481113434
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0017715840367600322
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.002847199561074376
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0035742041654884815
EPOCH 6 OF 10 | MOST RECENT TRAIN LOSS: 0.0034390741493552923
EPOCH 6 OF 10 | VAL MEAN LOSS: 0.0024703044909983873
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0017957655945792794
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.002610017079859972
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0023868056014180183
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.001472514821216464
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.002695733215659857
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0018137386068701744
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.002837542211636901
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.0035746204666793346
EPOCH 7 OF 10 | MOST RECENT TRAIN LOSS: 0.003432936267927289
EPOCH 7 OF 10 | VAL MEAN LOSS: 0.0024618334136903286
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0017904589185491204
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0026099937967956066
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0023879436776041985
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0014726771041750908
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0027198921889066696
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0018330388702452183
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0028301100246608257
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.0035733841359615326
EPOCH 8 OF 10 | MOST RECENT TRAIN LOSS: 0.003412939142435789
EPOCH 8 OF 10 | VAL MEAN LOSS: 0.002455316949635744
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.001787323853932321
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.0026268004439771175
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.002397452713921666
EPOCH 9 OF 10 | MOST RECENT TRAIN LOSS: 0.0014877461362630129
