EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.022304890677332878
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.009941442869603634
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.005765024106949568
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.005495334975421429
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.006611360237002373
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0075131552293896675
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.006934951525181532
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.007479347288608551
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0039012713823467493
EPOCH 1 OF 10 | VAL MEAN LOSS: 0.006440212484449148
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0054248180240392685
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.006923858076334
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.005429267417639494
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.005470657255500555
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0065986113622784615
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.007516100071370602
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.006934667006134987
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.00746552087366581
EPOCH 2 OF 10 | MOST RECENT TRAIN LOSS: 0.0038902712985873222
EPOCH 2 OF 10 | VAL MEAN LOSS: 0.006441423203796148
EPOCH 3 OF 10 | MOST RECENT TRAIN LOSS: 0.005424717906862497
