
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.002733310218900442
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.0027310641016811132
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.002723084529861808
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.002733157481998205
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.002724333666265011
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.0027226244565099478
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.0027215066365897655
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.002736233174800873
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.0027265893295407295
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.00272348802536726
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.00272246147505939
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.0027217785827815533
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.002728103194385767
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.0027207168750464916
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.002721403492614627
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.002735361224040389
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.0027263700030744076
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.002723902929574251
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.0027226535603404045
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.0027220703195780516
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.0027217466849833727
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.0027207883540540934
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.0027203618083149195
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.002720284042879939
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.0027207767125219107
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.00272680027410388
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.0027214372530579567
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.002719386015087366
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.0027189895045012236
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.002720078220590949
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.0027188085950911045
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.002730076666921377
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.002723413286730647
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.002722160890698433
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.0027215268928557634
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.0027210519183427095
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.002720668213441968
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.0027203671634197235
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.0027201413176953793
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.002719953889027238
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.0027197073213756084
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.0027192779816687107
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.00271868659183383
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.0027182246558368206
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.002718150382861495
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.002718245144933462
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.0027181280311197042
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.002717876574024558
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.002717997645959258
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.0027194893918931484
TEST MEAN LOSS: 0.00251198373734951
