
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.024614084511995316
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.02456079237163067
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.02441500872373581
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.024454772472381592
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.02442632056772709
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.02434210479259491
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.02431422285735607
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.02433185651898384
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.024322330951690674
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.024353045970201492
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.024546051397919655
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.024426430463790894
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.02441294677555561
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.02422128990292549
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.024204600602388382
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.024264555424451828
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.024290138855576515
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.024254510179162025
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.024203935638070107
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.024211248382925987
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.024159563705325127
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.024176498875021935
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.02430407889187336
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.02451072447001934
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.02455293759703636
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.024106252938508987
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.024068469181656837
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.024057701230049133
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.024060500785708427
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.024040868505835533
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.024056987836956978
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.02410515770316124
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.024126313626766205
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.024082308635115623
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.024082079529762268
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.02408779412508011
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.024130800738930702
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.02408618852496147
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.024066172540187836
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.0241191778331995
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.024069655686616898
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.024069948121905327
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.0240640826523304
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.023995114490389824
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.024078967049717903
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.023984825238585472
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.024282747879624367
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.02406982332468033
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.02414659596979618
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.024296453222632408
TEST MEAN LOSS: 327.58447265625
