
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.0038793005514889956
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.002692284295335412
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.0026554858777672052
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.0026560297701507807
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.0026562868151813745
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.0026581238489598036
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.002656670520082116
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.002660564612597227
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.0026652361266314983
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.002674705581739545
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.0026647071354091167
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.002655800897628069
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.002663771389052272
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.002657887525856495
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.0026568849571049213
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.002657628385350108
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.0026664435863494873
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.002672674832865596
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.002673941431567073
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.002668646164238453
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.002661654492840171
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.002657230943441391
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.0026551096234470606
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.0026551338378340006
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.002659035613760352
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.002667793305590749
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.002664136001840234
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.002655741758644581
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.002655019983649254
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.0026560022961348295
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.002655821619555354
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.002667793305590749
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.002673601033166051
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.0026740196626633406
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.0026731486432254314
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.002671478083357215
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.0026690380182117224
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.0026660654693841934
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.002663098741322756
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.0026605715975165367
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.002658470533788204
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.002656619530171156
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.002655067713931203
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.0026540944818407297
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.0026537547819316387
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.002653664443641901
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.002653795061632991
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.0026548788882791996
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.0026575024239718914
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.002661523874849081
TEST MEAN LOSS: 0.002634089905768633
