
EPOCH 1 OF 10 | VAL MEAN LOSS: 0.002713696099817753
EPOCH 2 OF 10 | VAL MEAN LOSS: 0.0027138344012200832
EPOCH 3 OF 10 | VAL MEAN LOSS: 0.002713858848437667
EPOCH 4 OF 10 | VAL MEAN LOSS: 0.002708901884034276
EPOCH 5 OF 10 | VAL MEAN LOSS: 0.0027090059593319893
EPOCH 6 OF 10 | VAL MEAN LOSS: 0.0027091410011053085
EPOCH 7 OF 10 | VAL MEAN LOSS: 0.002708981279283762
EPOCH 8 OF 10 | VAL MEAN LOSS: 0.0027089559007436037
EPOCH 9 OF 10 | VAL MEAN LOSS: 0.002708970569074154
EPOCH 10 OF 10 | VAL MEAN LOSS: 0.0027089857030659914
TEST MEAN LOSS: 0.002506889868527651
