
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.6893885135650635
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.3714078962802887
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.27244043350219727
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.19206371903419495
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.1221841499209404
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.0942988395690918
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.057625316083431244
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.03470311313867569
EPOCH 1 OF 10 | MOST RECENT TRAIN LOSS: 0.02523007243871689
EPOCH 1 OF 10 | VAL MEAN LOSS: 0.022806409746408463
