
EPOCH 1 OF 50 | VAL MEAN LOSS: 0.002874326892197132
EPOCH 2 OF 50 | VAL MEAN LOSS: 0.0026546816807240248
EPOCH 3 OF 50 | VAL MEAN LOSS: 0.0026554586365818977
EPOCH 4 OF 50 | VAL MEAN LOSS: 0.0026702857576310635
EPOCH 5 OF 50 | VAL MEAN LOSS: 0.0026535268407315016
EPOCH 6 OF 50 | VAL MEAN LOSS: 0.0026538893580436707
EPOCH 7 OF 50 | VAL MEAN LOSS: 0.0026540090329945087
EPOCH 8 OF 50 | VAL MEAN LOSS: 0.002654280513525009
EPOCH 9 OF 50 | VAL MEAN LOSS: 0.0026543252170085907
EPOCH 10 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 11 OF 50 | VAL MEAN LOSS: 0.002654129406437278
EPOCH 12 OF 50 | VAL MEAN LOSS: 0.002654131269082427
EPOCH 13 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 14 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 15 OF 50 | VAL MEAN LOSS: 0.002654132666066289
wandb: Network error (ConnectionError), entering retry loop.
EPOCH 16 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 17 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 18 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 19 OF 50 | VAL MEAN LOSS: 0.0026541324332356453
EPOCH 20 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 21 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 22 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 23 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 24 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 25 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 26 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 27 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 28 OF 50 | VAL MEAN LOSS: 0.0026541324332356453
EPOCH 29 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 30 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 31 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 32 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 33 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 34 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 35 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 36 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 37 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 38 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 39 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 40 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 41 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 42 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 43 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 44 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 45 OF 50 | VAL MEAN LOSS: 0.002654132666066289
EPOCH 46 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 47 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 48 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 49 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
EPOCH 50 OF 50 | VAL MEAN LOSS: 0.0026541328988969326
TEST MEAN LOSS: 0.0026239731814712286
